Word;EN title;EN Indication;EN Definition
dā ' īqu *;dā ' īqu *;[Army];siege wall
da ' mutu;da ' mutu;[Colors];"a pigment ;"
daʾāmu;"daʾāmu  (vb. i/i, u/u ; )";"G. to become dark, dim ; stat. : to be dark Gtn. to become dark (day) D. to darken Dt. to be darkened";
daʾʾatu;daʾʾatu  ();;→ dannatu
dabābu (1);dabābu (1)  [DU11 : ]  ([DU11.DU11] );[Human → Speech];: talk [DU11.DU11] : (idle) talk , blathering : inscription on bed , contents of a letter or a document [dabābu kitti / kīnu] : honest / straightforward talk [dabābu lā kitte] : une plainte , un litige , un contentieux [bēl(et) dabābu] : partie adverse (dans un procès judiciaire)
dabābu (2);dabābu (2);[Human → Speech];"Š : to convince , to persuade , to talk over , to make compliant , to exhort , to urge , to abet , to agitate , to incite , to rouse up , to instigate , to foment , to provoke ; dabābu issi : to connive with , to conspire , to plot , to scheme , to intrigue ; elīta dabābu : to speak up ; issi libbi dabābu : to be concerned about , to think about , to ponder , to worry ; lā kēttu dabābu : to misinform , to deceive ; ṭapiltu dabābu : to slander , to denigrate , to defame , to backbite , to vilify , to malign ;"
dabābu;dabābu  [DU11 : , DU11.DU11 : ]  (vb. u/u);[Human → Speech];"G. to speak, talk (to s.o. : +ana, with s.o. : +itti) ; itti libbīšu dabābu to consider ; to say, tell, declare ; to recite ; to litigate ; dīna dabābu to bring an action ; itti/issi X dabābu to accuse, prosecute X ; to plot (sth. : +ina/ana muḫḫi) Gtn. to speak repeatedly, to chatter D. to talk much beaucoup ; to call on s.o. for sth. (+ana) (because of sth. : +aššum) ; to complain ; to cause to speak ; to talk nonsense Dt. to be claimed ; to be called for Š. to cause to speak, talk ; to make s.o. declare ; to make s.o. litigate ; to stir up , to incite to gossip ; to make a woman compliantŠt1. to be made to speak"
dabābu;"dabābu  [DU11 : , DU11.DU11 : ]  (n. ; )";"talk, speech ; dabābu kītti/kīnu straightforward, honest talk ; dabābu lā kītte complaint, litigation ; bēl dabābi adversary (in court)";Cf. dabābu, dabābu (1), dabābu (2)
dabāqu;dabāqu;"G : to cleave to , to adhere to , to cohere , to cling to , to stick to , to keep close to , to get along ; D : to glue + , to join together , to splice ;";See also : naqāpu
dabbu;dabbu;[Animals];
dabdû;dabdû  [BAD.BAD : , BAD5.BAD5 : ];[Army];"defeat, bloodshed ; dabda dâku, maḫāṣu, šakānu to inflict a defeat"
dābib ṣalipti;dābib ṣalipti;"a teller of lies ;";Cf. ṣiliptu, ṣaliptu
dābib šāri;dābib šāri;[Human → Speech];"a windbag , a chatterbox , a blabbermouth , a prater ;"
dābibtu;"dābibtu  (feminine ;)";[Human being];"1) gossip , tittle-tattle ; 2) a gossipy woman ;"
dābibu;dābibu;[Human → Speech];"a narrator ;"
dabû;dabû  (fem. dabītu);[Animals];bear
dabūbu;dabūbu;[Human → Speech];: conversation
daddamu;daddamu;[Animals → Domestic];"a mule ;"
daddu;daddu  (dādu);[Clothing];sole of a shoe
dadmē;dadmē;[Humanities → Geography];"inhabited regions ;"
dadmū;dadmū  (Litterary Babylonian);[Humanities → Geography];: villages , settlements , the inhabited world
dādu;dādu;[Moral life → Feelings];"1) love , lust , desire ; 2) a pet ; 3) intimate relationships : a poppet ;"
dagālu;dagālu;[Human → Senses];"to see , to look , to scan , to visualize ; (Š) to show , to visualize ; (N) to be looked upon as , to belong to ; ina pān X dagālu : to wait for X ;"
dāgil pāni;dāgil pāni;[Government];"a vassal ;"
dāgilu;dāgilu;[Human → Senses];"an observer , an onlooker , a looker , a watcher , a spy , a spectator , a viewer+ , a bystander+ ; lā dāgilu : unobservant , unseeing , blind ;"
daḫru *;daḫru *;[Moral life → Feelings];angry , furious
daḫû (2);daḫû (2);"1) : to beat (?) , to press down / to squeeze (?) ; 2) : to push someone on , to expel / to force out , to chase out / to kick out , to banish (?) / to ban (?) ;";See also : nasāḫu
daiāltu;daiāltu;[Sport → Hunting];"a hunting expedition , a hunting foray ;"
daiālu;daiālu;[Army → Military];"1) a scout , a soldier in reconnaissance mission / riding point ; 2) a spy ; 3) a courier ; 4) a constable ;"
daiaštu;daiaštu;[Country → Agriculture];"a threshing sledge ;"
daʾīmu;"daʾīmu  (n. ; )";gloom;Cf. daʾāmu
dakāku (1);dakāku (1);[Feeding → Cooking];"1) to crush (in a mortar with a pestle) , to gring up (edibles or drugs) in a mortar , to pound with a pestle ; 2) to crowd (about) ;"
dakāku *;dakāku *;to romp;
dakāšu;dakāšu;[Army → Weapons];"to stab ;"
dakkannu;dakkannu;[City → Hotel];"a doorway ;"
dakkukūtu;dakkukūtu  (Ur III);[Feeding → Food];: name of an edible commodity
dâku;dâku  [GAZ : ]  (vb. ū);"G. to kill ; to beat, strike Gt. to fight each other Š. to make s.o. kill s.o. N. to be killed, executed";Variants : duāku
dalāḫu;dalāḫu  [LÙ : ]  ();[Moral life];"1) to disturb , to stir up ; 2) to cause to get water muddy / cloudy , to blur eyesight / vision , to disturb , to trouble , to worry , to interfere with people, country ... , omen : to be confused / obscure / not clear ; D : face ... : to be filled / blurred with tears + accusatif ; 3) : to hurry ; Š : to cause disturbance / trouble , to disturb ; N : passive : to be made turpid , to be sirred up , : fields : êto get mixed up ;"
dalālu B *;dalālu B *;to be(come) small , to be wretched , to be stunted;See also : ṣeḫru B*, ṣeḫḫeru, qallu, ēṣu, qallīlu, ṣuḫḫuru *
dalālu;"dalālu  (vb. a/u ; syn : nâdu, šitmuru)";to praise;Comparison with other Semitic languages :
dalamu;dalamu;[Religion → Myths];
dalāmu;dalāmu  ();[Religion → Myths];"a designation of the underworld / netherworld / hell ? ;"
dalāpu;dalāpu;to be(come) sleepless;See also : šittu, niālu, ṣalālu, utūlu *, ṣālilu *, dalpu, šudlupu *, diliptu, ṣallu
dalāqu;dalāqu;[Science → Physical sciences];"G : to burn ;"
dalḫu;dalḫu  [LÙ : ]  ();[Human → Senses];"1) troubled , disturbed ; 2) water, beer : cloudy ; 3) illness, omen : obscure , confused ; 4) country, people : unstable , chaotic , whimsical (?) , unpredictable (?) , inconstant (?) , insecure (?) , volatile (?) ; feminine : diliḫtu ;"
dalīlu (1) , dilīlu;dalīlu (1) , dilīlu  [KA.TAR : ];[Religion];"to praise (a god) , to sing ; [ana dalīli] : to sing the praises of ; [dalīlu Aššur dalālu] : to praise Asshur ;"
dalīlu , gimlu;dalīlu , gimlu;"thanks ;";See also : karābu, kāribu, lā kāribu
dalīlu;"dalīlu  [KA.TAR : ]  (n. ; syn : tanattu, tanittu ; cf. dalālu, naʾādu, šitmuru)";"praise , thanks ; [dalīlu DN dalālu] : to praise the god DN ; [ana dalīlī] : to sing the king's praises ;";Cf. dalālu
dālilu;dālilu;thankful;
dālītu;dālītu;[Feeding → Drink];": a bucket for drawing water , a pail for drawing water ;"
dalpu;dalpu;sleepless;See also : šittu, niālu, ṣalālu, utūlu *, ṣālilu *, šudlupu *, dalāpu, diliptu, ṣallu
dalqu+;dalqu+;[Animals → Insects];"a glow-worm ;"
daltu;"daltu  [GIŠ.IG : ]  (n. fem. ; [GIŠ.IG : ] or [GI.IG : ])";"1) a door ; daltu šamê : the door of heaven ; daltu erṣeti : the door of the underworld ; dalat zinû : a door made of palm-rib ; 2) origin of the name of the letter of the Greek alphabet ""delta"" : a door-hinge (?) ; 3) : feature on breast of fœtus";See also : edēlu
dalû (1);dalû (1)  ( : dālu , dallu);: a bronze bucket for drawing water : bīt dalû : land irrigated by bucket (opposite of bīt mê);Cf. dālûtu, dālītu, dālû, , dulû, dalû (2), dilūtu, madlā ' um
dalû (2);dalû (2)  [BAL : ];[Country → Agriculture];to draw water with a bucket , to hoist : to irrigate a field with buckets
dalû (3);"dalû (3)  ( ; Sumerian origin)";[Industry];"a needle / a pin ;"
dālu , ḫābiu;"dālu , ḫābiu  (also ""mê šqē"" unlisted in Parpola's dictionary : feminine : ḫābītu)";[Professions];water-drawer (carrier ?)
dalû(2);dalû(2)  [BAL : ];[Feeding → Drink];"1) to draw with a bucket water ... ; 2) : to irrigate with buckets fields ... ;"
dālû;dālû  [LÚ.A.BAL : ];[Professions];1) water drawer 2) a dipper (bird)
dâlu;"dâlu  (vb. ū ; )";"G. to walk, run around ; to sail around ; to prowl D. to disturb, disrupt s.o. Š. to make s.o. run around";Cf. dayyālu
dālûtu;dālûtu;[Professions];"function of a water-drawer / dālû ;"
dalūtum;dalūtum;[Country → Agriculture];"a bucket-irrigated field ;"
dām erēni;dām erēni;[Country → Trees];"cedar balsam ;"
damāmatti *;damāmatti *;unfortunately;Cf. gaddānatti +, damqu, dunqu
damāmu;damāmu;[Human → Senses];"see also ḫadādu / nazāzu : to rustle , to make a faint crackling sound , to swish (?) ;"
dāmānāiu;dāmānāiu  (archaic word);[Army → War];"bloody ;"
damāqu;"damāqu  [SIG5 : ]  (vb. i/i ; stat. deʾiq, dêq)";"G. to become good ; stat. : [AL.SA6 : ] to be good ; to be friendly ; to prosper, have success ; ana/eli/ina maḫar X, ina pān X damāqu to be pleasing to X D. to improve ; to carry out properly (a task) ; hend. : to do properly ; to do a favour to s.o. ( +ana, +acc.) ; to approve of sth. Dtn. to continually make good Š. to make propitious (omen)";See also : dumqu
dāme;dāme  [NA4.ÚŠ : ]  ((aban) dāme);[Nature → Minerals];"blood-stone (nama of a stone);"
dammuqu;dammuqu;[Moral life → Quality];"excellent , refined , dapper , stylish , smart , snazzy ;"
damqāti saḫāru *;damqāti saḫāru *;to try (to do) good deeds;See also : ṣarāmu
damqiš;"damqiš  [SIG5 : ]  (adv. ; )";"well ; kindly, fortunately";Cf. damāqu
damqu;"damqu  [SIG5 : ]  (adj. ; fem. damiqtu, dameqtu, daʾiqtu, dêqtu)";"good, of good quality , pretty , nice , fine , beautiful , fair / handsome , pretty , shapely , comely , cute , bonny , chic / elegant , glamourous , fortunate , happy , lucky , well-off / well-to-do , noble aristocrat , benevolent , kind , genteel / benign , chivalrous / knightly (?) ; favourable ; able-bodied , qualified , capable, skilled ; subst. f. damiqtu : luck, good fortune ;";Cf. damāqu, mukīl rēš damiqti
damṣun;damṣun;humble;
damtum (1);"damtum (1)  ( : tamtu ;)";[Human → Family];"1) (meaning unclear) ; 2) : blood , lineage ;"
daʾmu;"daʾmu  [MUD : , DARA4 : ]  (adj. ; )";dark;Cf. daʾāmu
dāmu;dāmu  [MUD : , ÚŠ : ]  (n. m.);[Human → Body];blood
danāniš;danāniš;[Army → War];: by force
danānu (1);danānu (1)  [KALAG : ]  ( : da ' ānu);[Army → Military];1) power , strength (god, king, ennemy ...) [ina danānu] : by force , against one's will 2) severity , harshness (cold, weather ...) 3) [divination] : reinforcement (part of a liver)
danānu *;danānu *;[Government];"power , strength , severity ; D : to fortify , to reinforce a construction , to strengthen ;"
danānu;danānu  [KALAG : ]  (vb. i/i);"G. to be strong, powerful ; to be difficult, tough D. to make strong ; to reinforce";Cf. madnanu, riksu danānu, ina danāni, danānu *, dunnu
dandannu *;dandannu *;strongest , all-powerful;See also : danānu *, dannatti, dannatānu
dandannu;"dandannu  ( : dannudannu ; Literary Neo-Assyrian ;)";[Religion];"(divine or royal title) : all-powerful , almighty , omnipotent ;"
dandannūtu;dandannūtu;[Religion];"all-powerfulness , almightiness , omnipotence ;"
dannatānu;dannatānu;[Government];powerful (person)
dannatti;dannatti;by force;See also : dandannu *, danānu, dannatānu
dannatu kuṣṣim;dannatu kuṣṣim;[Time];depth of winter
dannatu šattim;dannatu šattim;[Time];hard time of the year
dannatu ummatim;dannatu ummatim;[Time];the height of summer
dannatu;dannatu  [BAD4 : , MUNUS.KALAG.GA : ]  (n. f.);[Army];"fortified place, fortress [É.KALAG : ] ; foundation, building site ; (adj.) firm, binding (agreement), strict (command), threatening, harsh (words) ; distress, famine, calamity, difficulty ; dannat šatti hard time of year ; dannat kuṣṣi depth of winter ; dannat ummati height of summer"
danninu;danninu;[Army → Military];"solid ground , a well-founded argument (?) , a strong position (?) ;"
danniš;danniš;[Measures];"very , severely ;"
dannu;dannu  [KALAG : ];"1) strong, powerful , socially elevated / of high degree ; 2) stable ; 3) violent ; see opposite anšu ;";Cf. danānu
dannutu;dannutu;[Legal];"1) see also bēt dūri / bīrtu / dunnu : a stronghold , a fortress ; 2) hardship , difficulty , predicament ; 3) intensity , severity ; 4)a title-deed ; ina danniti : by the heavy weight standard , by the large measure , notably (?) ;"
dannūtu;dannūtu  [KALAG : ]  (NAM.KALA (.GA));[Army];"a stronghold , a fortress ;"
danqu;danqu;;→ damqu
dânu;dânu;[Legal];
dapānu;dapānu;[Army → War];"to bear down violently on , to hurtle towards , to head aggressively for ;"
dapāru;dapāru;"G : to frequent , to swarm , to teem , to abound ; D : to move / go away , to stay clear of , to withdraw , to stay away , : to absent oneself from work ;";See also : tibûtu
dāpi' u;dāpi' u;[Feeding → Cooking];bowl , kind of goblet
dāpinu;dāpinu;[Moral life → Fault];": overbearing , savage , proud (god , lion , king ...) ; : belligerent , heroic , martial , militant / energetic / forceful , warlike , bellicose , overpowering , fierce ; [Astronomy] : Jupiter , Procyon [UD.AL.TAR : ] ;"
dapniš;dapniš;[Army → War];": aggressively , fiercely , belligerently ;"
dapnu;dapnu;[Army → War];: aggressive (god , ennemy , battle ...)
dappānu;dappānu;[Army → War];: warlike , martial
dappu;dappu;;→ adappu (2)
dappurtu;dappurtu;: absence [dappurtu rašûm / rišlum] : to be(come) absent , to default , not to show up , to take French leave (?);See also : duppuru (1), ṭapāru
daqāqu;daqāqu;[Measures];1) to be minute , to be fine , to be tiny 2) D : to crush minutely (enemy, wall , potsherds ...)
daqqaqīta;daqqaqīta;[Measures];in a tiny manner , very finely , very minutely
daqqaqu;"daqqaqu  ( ; plural : daqqaqūtu : the tiny ones)";a tiny one , a minute one;See also : daqqiqu, daqāqu, daqqaqu
daqqiqu;daqqiqu;[Measures];"very tiny , minute ;"
daqqu;daqqu;[Measures];1) : minute , fine 2) : personnal name , pulverized (corn , metal , stone) 3) small amounts left over (silver , food) , small leftovers
daqqu;daqqu;;→ damqu
dārâ;dārâ;[Time];": forever ;"
darāru (1);darāru (1);[Transport];1) to move freely 2) to become free of debts 3) gods) to run together, to converge N : nadarruru : to roam free (pigs ...)
darāru (2);darāru (2);[Time → Month];to intercalate a month
darāru;darāru;[Legal];
darāru;"darāru  (vb. ; )";"N. to move freely (animals) ; to become free of debt (silver)";
dargu ana dargi;dargu ana dargi;[Time];"gradually , step by step , little by little , progressively , bit by bit , piecemeal ;"
dargu;"dargu  (Western Semitic origin ;)";[Art → Architecture];"a staircase , a step + / stair + / degree + / grade + / rank + / rating + ; bīt dargi : a staircase , a flight of stairs ; ana dargi : gradually , little by little ;"
dāriš;dāriš  ();[Time];"for ever , for eternity ; : ana dāriš / ad-dāri : for ever ; : adi dāriš : for ever ; dāriš ūmim / dāriš ūmī : for ever , for ever and a day ;"
dārīu;dārīu;[Time];"everlasting , immortal , eternal , never-ending ;"
darlugallu;darlugallu;[Animals → Domestic];
dāru (1);dāru (1)   (dāriu);[Time];: an era , an eternity , eternity : [ištum dār] : from time immemorial : [ana/ad dār] : for ever : [an dār] : for ever : [ana (ūmī) dāri] : for ever : [ana dāri dūri] : for ever and ever
dāru (2);dāru (2);[Time];: a lifetime (?) , sixty years (?)
dārû;dārû   [DA.RÍ : ]  (dāriu);[Time];: (gods, royal offspring, life,kingship,days, years, pprotection, good deeds, foundation, temple, wood ...) lasting, eternal, immortal (?)
darû;darû;[Time];": to last forever , to continue forever , for eternity , to go on existing forever / to keep living eternally ; : lū dariāta : may you live forever ; : adi ... darûni : as long as (heaven and earth) last ;"
dāru;dāru;[Human being];"1) era , eternity , time , a century + ; 2) lifetime , sixty years (?) ; ana dūr dāri : for ever ;"
dārû;dārû  (st. abs. dāri);everlasting;
dārû;dārû;[Time];: an era , an eternity
dārûtaš , dārûtu;dārûtaš , dārûtu;[Time];: for ever
dārûtaš;dārûtaš;[Time];for ever
dārutu;dārutu;[Time];"eternal life , immortality ;"
dārūtu;dārūtu;[Time];"eternal life , everlasting life , immortality ;"
dārûtu;dārûtu;[Time];": long lasting life ;"
dassu , ēdissu;dassu , ēdissu;[City → Hotel];door
daṣtu;daṣtu;[Moral life → Fault];"violence , wrong (?) ;"
dāṣtu;dāṣtu;[Religion → Divination];(especially plural as omen interpretation) : treachery , disrespect
dâṣu *;dâṣu *;to treat unjustly , to treat with disrespect;See also : abālu B *, epāšu (Gtn), samāku (D), dâṣu *, mêsu * (D), dullu, kannû
dâṣu;dâṣu;[Moral life → Fault];: to treat unjustly , to treat with disrespect , to flaunt G (ā) : to pressurize (participle) : [dayyiṣ amātīya] : that treats my words with disrespect
daš ' um;daš ' um;[Time];: spring (season, time of the year)
dašāpu;"dašāpu  (vb. ; ; used for : honey (dišpu), dates, songs , sexual charms)";"G. stat. : to be sweet D. to sweeten, make sweet ; stat. : to be very sweet";Cf. duššupu
dašari;dašari;[City → Buildings];a (type of) palace
dašgarinnum;dašgarinnum;[Country → Trees];
dašpu u emṣu *;dašpu u emṣu *;sweet-and-sour;
dašpu;"dašpu  (adj. ; )";[Human → Senses];sweet (as honey) - used for beer, fruit, person- (also used as a personal name)
daššupu;daššupu  ();;→ duššupu
dâšu;dâšu;;→ diāšu
dāt;dāt;"after, afterwards, thereafter
dāt annî after this ; ina dātuššunu after them ; iddātūʾa after me ; iddātukka after you ; ina dāt(i) / iddāt(e/i) afterwards ; iddāt egirte annīte after this letter ; addāt šarri / rab ḫanšê after the king / the commander of fifty troops";Cf. iddāti
daʾummatu;"daʾummatu  (n. f. ; )";gloom, darkness;Cf. daʾāmu
daʾummiš;"daʾummiš  [DAR4.MEŠ : ]  (adv. ; )";in pitch-dark;Cf. daʾāmu
dayyālu;"dayyālu  (n. ; )";[Professions];servant
dayyālu;dayyālu  (n.);"prowling ; scout ; rab dayyāli scout commander";Cf. dâlu
dayyānu;dayyānu  [DI.KUD : ];[Professions];judge
de ' iqtu;de ' iqtu;[Moral life → Quality];"courtesy , politeness , civility , fine manners ;"
deʾiqtu;deʾiqtu;good luck;
dekû;dekû  [ZI : ]  (vb. e/e, i/i);to raise;
dēnu ša muāti;dēnu ša muāti;[Legal];death sentence
dēnu ša muāti;dēnu ša muāti;[Legal];"death sentence ;"
dēnu;dēnu  ();[Legal];
derû , darû;derû , darû;[Time → Month];1) to intercalate a month 2) be intercalated
dešû * (Dt);dešû * (Dt);to abound;See also : ḫiṣbu, lulû *, nuḫšu, šumḫu *, ṭuḫdu
dešû;dešû  (vb.);"D. to make flourish ; to make prosper ; to supply copiously Dt. to abound";
dēt;dēt;;→ dāt
di ' u;di ' u;[Government];
diānu;diānu  [DI.KUD : ]  (vb. a/i);[Legal];"G. to sentence, judge, pass judgment on s.o. ; dīna diānu to administer justice (on s.o. : +acc.) ; to give jugment ; to litigate, engage in a lawsuit D. dīna/dīnāti dunnu to initiate litigation N. to be pronounced (decision)"
diāšu *;diāšu *;[Country → Agriculture];"to thresh grain from straw ;"
diāšu;diāšu  (vb. a/i);to thresh, tample (grain);Variants : dâšu
dibbē lā šalmūti;dibbē lā šalmūti;[Human → Speech];"gossip ;"
dibbē lammadūti;dibbē lammadūti;[Army → Military];"watchword , password ;"
dibbē;"dibbē  (plural noun ;)";[Human → Speech];"words , argument ; dibbē lā dibbē: gibberish , blathering ; dibbē lā šalmūti : false allegations , ungrounded assertions , groundless talk , rumours , gossip ; dibbē ša šari : twaddle , drivel , worthless message , baloney ; dibbē lammadūti : password , watchword , motto (?) ; gimir dibbē : vocabulary + ;"
dibbu;"dibbu  ( : plural feminine ;)";[Human → Speech];"1) words , utterance ; 2) talk , rumour , matter / suject ; 3) (+ Nuzi) : (legal) claims ;"
dibdibbu;"dibdibbu  (ṣiṣṣippu ? ; : Sumerian origin ;)";[Time];"a water-clock , a clepsydra ;"
dibiru;dibiru  ();[Nature];"a calamity , a plague , serious trouble , a catastrophy ;"
dīdā;dīdā;[Clothing];female garment , female clothing
didabû;didabû  (didibû);[Humanities];"scribal apprentice , scribe apprentice , pupil , student ;"
didallu , ditallu , didilu;didallu , ditallu , didilu;[Nature];ash(es)
didānu;didānu;[Animals → Wild];"a bison , a buffalo ;"
didibbu;didibbu;;→ dibdibbu
didibbû;didibbû  ();[Legal];court judgement
didilu;didilu;;→ didallu
dīdū;dīdū  ();"1) (of a garment) : loosened , torn ; 2) a temple prostitute ; 3) Lamaštu (female divinity) ; 4) : underwear ;";Cf. dīdā
digil īni;digil īni;[Human → Body];"eyesight / vision ;"
digilu;digilu;[Nature → Minerals];precious stone inlay
diglu;diglu;[Human → Senses];"1) : vision , view , a vision (?) ; 2) : the power of sight , vision / visual perception ; diglu ēnē : eyesight / visual perception ; 3) : a) an opinion , a view / a viewpoint on a matter ; 4) a look / a glance ; 5) : a precious stone ? ;"
diglû;diglû  ();"a metallic object : a mirror (?) ;";Cf. dagālu, diglû, dāgilu, madgulu, diglu, madgaltu, madgalu
dīktu;dīktu  [GAZ : ];[Army];"fight ; pl. : blows ; dīkta, dīkāti dâku to massacre"
dilḫu;dilḫu  ();[Moral life → Feelings];"1) a disturbed state , trouble ; 2) river water : turbidity , troubled aspect ; 3) person : confusion ; 4) country : disruption , troubles ;"
Dilibat;Dilibat;[Sky → Astronomy → Planets];Venus
diliḫtu;diliḫtu;[Moral life → Conscience];"feminine of dalḫu : 1) troubled , disturbed , cloudy water, beer .... , confused , embarrassed , unstable , chaotic ; 2) noun : disturbance , embarrassment , politics ... : troubles , upheaval , unrest , strife , disorder , instability , turmoil , commotion ;"
dilīlu;dilīlu;;→ dalīlu
diliptu;"diliptu  (n. ; )";[Human → Sleep];sleeplessness, anxiety
dilūtu;dilūtu;[Country → Agriculture];"water drawing device , an irrigation bucket , a shaduf ;"
Dimašqa;Dimašqa;"Damascus ;";
dimta šaqû;dimta šaqû;[Moral life → Feelings];1) to weep tears 2) to irrigate , to wet (rain)
dimtu;dimtu;tower , pile;See also : ṣāpītu, isītu, nāmiru, nāmuru
dintu (2);dintu (2)  [AN.ZA.GÀR : ]  (dimtu , dindu );: a watch-tower , the garrison of a tower , a fortified dwelling (Nuzi) : district , estate (centered on stronghold) [bēl dimtu] : (an administrative official) : [GIŠ.AN.ZA.GÀR] wooden siege-tower : (a feature in oil-omens) : une pyramide de crânes;See also : asītu, madgaltu, nāmuru, ṣāpītu, šaddidu, saḫaru, gigunû, siqqurrutu
dintu;dintu;[Human → Body];a tear
dīnu;"dīnu  [DI.(KUD) : ]  (n. masc. ; pl. m. & f.)";[Legal];"legal decision, verdict, sentence, judgment ; dīna diānu to pass verdict ; dīna gamāru to pronounce final sentence ; dīnu gamru completed case ; decision (of deity) ; dīna šakānu to give a decision (by omen) ; legal provision, statute ; legal case, issue ; dīna amāru to examine a case ; dīna parāsu to settle a case ; lawsuit, trial ; dīna šūḫuzu to grant a lawsuit ; dīn napišti case of life or death ; dīna epēšu to institute legal proceedings (against s.o. : +itti) ; dēna dabāba baʾʾû to initiate legal proceedings ; dīna dabābu to bring an action ; dīnu u ragāmu lawsuit and claim ; bēl dīni adversary (in a lawsuit) ; bīt dīni law court ; ša pān dīnāte president of court"
dipāru , numūru , zīqtu;dipāru , numūru , zīqtu;"a torch , a flambeau , a luminary ;";See also : gizilû
dipāru;dipāru  [GIŠ.IZI.GAR : ];[City → Hotel];"1) a torch ; dipāru našû : to raise a torch ; dipāru napāḫu / nuppuḫu : to light a torch ; 2) (transfer) : torch / light / beacon (title of astral deities) ;"
diqāru;diqāru;[Feeding → Cooking];cooking-pot
diqqum;diqqum;[Feeding → Meal];: 1) small , meager (provisions , food ...) 2) personal name
diqugallu;diqugallu;[Legal];supreme judge
dirigûm;dirigûm;[Time → Month];intercalary month
dīru;dīru;[Time → Month];1) intercalation 2) intercalary month
diru ' u;diru ' u;[Feeding → Food];"(a kind of bread) ;"
diruʾu, ḫuḫḫurtu , ḫuḫḫuru, midru, ripītu;diruʾu, ḫuḫḫurtu , ḫuḫḫuru, midru, ripītu;[Feeding → Cooking];(kind of) bread
diskarinnum;diskarinnum;[Country → Trees];
dišpu suluppi;dišpu suluppi;[Feeding → Food];date honey , date syrup
dišpu;dišpu  [LÀL : ]  (n.);[Feeding → Drink];"1) honey ; [LAL.KUR.RA : ] : dišpu(m) šadî : mountain honey ; 2) syrup ; dišpu(m) suluppi : date syrup ;"
dīšu (2);dīšu (2)   [Ú.BAR8.(SAR) : ]  (dēšu);[Time];": spring growth , spring / Spring ; : dīšu ebūri / kuṣṣi : summer / winter growth ; grass , spring : a personal name ; : dīš mīli : spring flood ;"
dīšu;dīšu  [Ú.BAR12 : ]  (syn. : pān šatti);[Time];Spring (season)
dīšu;dīšu;[Country → Plants];grass
ditalliš;ditalliš  ();[Nature];into ashes [ditalliš ušēmi] : reduced to ashes
ditallu;ditallu;;→ didallu
ditillû;ditillû  ();[Legal];final judgement
dittu;dittu  ();[Legal];lawsuit
du ' ' umiš;du ' ' umiš  ();[Moral life → Feelings];"in great darkness ;"
du ' ' umu;du ' ' umu  ();[Colors];"of skin markings : very dark ;"
du ' u;du ' u;[Government];"throne-platform , a platform / podium / stage ;"
duāku;duāku;;→ dâku
dubdû;dubdû;[Army];
dubdubbu;"dubdubbu  (Sumerian origin ;)";[Animals → Birds];"1) : ( a bird) ; 2) music : a musical instrument ;"
dublu;dublu;;→ tublu
dubur;"dubur  ( ; Sumerian origin)";[Industry];"a foundation ;"
dūdu , asallu;dūdu , asallu;[Feeding → Cooking];sort of cooking- pot (cooking vessels)
dūdu;dūdu;[Animals];
dugballu;"dugballu  ( ; Sumerian origin )";"a big tablet , a compendium ;";Cf. ṭupšarru, ṭupšīmātu, tupšinnu, qan ṭuppi, ṭuppu, tuppu
duḫḫusu;duḫḫusu  (dussuḫu);[Moral life → Feelings];D : to oppress (someone) Dt : 1) to be oppressed () 2) (penitent ...) to be depressed , to be downheared , to be demoralized
duḫnu;duḫnu;[Country → Agriculture];: millet
duḫšiu;duḫšiu;[Nature → Minerals];"rock-crystal , quartz ;"
dūkrānu;"dūkrānu  (n. ; syn. ḫissutu)";souvenir;
dulbānu;dulbānu;[City → Buildings];passageway , corridor
dulbu *;dulbu *;[Country → Trees];plane tree
dulbu;dulbu  (dilbu);[Country → Trees];: plane tree (Platanus Orientalis) : plane tree , plane timber : plane tree (as a commodity)
dulli ṣimitti *;dulli ṣimitti *;teamwork , collaboration;
dullu;dullu;[Religion];"1) work / job to do ; dullu epāšu : to work , to do a job ; adverb : ša lā dulli : without work / without doing anything , automatically (?) ; bēl dulli : the work master ; bīt dulli : the work-room , the workshop , the office (?) , a factory (?) ; 2) ritual ;"
dullulu *;dullulu *;to oppress , to wrong;See also : gašāru
dullulu B *;dullulu B *;[Legal];oppressed , wronged
dumāmu (1);dumāmu (1)  (tu(m)māmu );[Animals → Wild];": a leopard , a tiger ;"
dumāmu (2);dumāmu (2)   ();[Moral life → Feelings];"a moaning , lamentation ;"
dumāqū;"dumāqū  (n. pl. ; )";gems, jewellery;Cf. damāqu
dummuqtu;"dummuqtu  (n. f. ; )";good deed, benevolence;Cf. damāqu
dummuqu;dummuqu  (adj.);"of good quality, fine (metal) ; very good";Cf. damāqu
dumqu;dumqu  [SIG5 : ]  (n.);"welfare, well-being ; good state, condition ; good appearance, beauty ; good deed ; [loc akk=gmilu]gimil dumqāti reward, return favour ; bēl dumqi favorite, friend ; good results ; the best of sth.";Cf. damāqu
dumuqqû;"dumuqqû  (n. ; )";sign of gratitude;Cf. damāqu
dumuqtu;"dumuqtu  (n. f. ; )";good deed, favour;Cf. damāqu
dunānu;dunānu;[Army → Weapons];"(a kind of ) chariot ;"
dunni qaqqari;dunni qaqqari;[Humanities];"bedrock ;"
