Word;FR title;FR Indication;FR Definition
ḫakammum;ḫakammum  (origine sémitique occidentale );"médecin : expert , un expert ;";Cf. ḫakāmu
ḫakāmu;ḫakāmu;[Vie morale → Intelligence];"G: comprendre / entendre , saisir , percevoir , distinguer / faire le distinguo entre , discerner + , signifier (?) / insinuer (?) , sous-entendre (?) ; Š : expliquer , rendre clair , clarifier , faire passer (un message) , instruire , informer , faire savoir , faire un rapport / bilan , suggérer ; N: être distinct / clair / perceptible , devenir clair / s'éclairer; ḫakāmu birti : distinguer ; ḫakāmu birti X birti Y : distinguer / faire la différence entre X et Y , différencier X de Y ; lā ḫakāmu : se méprendre , faire une méprise , mal comprendre / saisir / interpréter ; ša iḫakkimūni : compréhensible , concevable , perceptible ; ša lā iḫakkimūni : incompréhensible , inintelligible , inconcevable ;"
ḫakimtu;ḫakimtu;[Vie morale → Intelligence];"une connotation , une implication / sous entendu , une idée , une perception , le fait de se rendre compte ;"
ḫalābu , ḫalāpu B;ḫalābu , ḫalāpu B;[Métiers];traire (une bête) , extraire le lait
ḫalābu;ḫalābu  ();[Science → Sciences naturelles];"1) verbe : allaiter , donner le sein ; 2) nom : le lait ; 3) le sein / la mamelle ;"
ḫalālu (2);ḫalālu (2);[Art → Musique];"siffler ;"
ḫalālu (3);ḫalālu (3)  ();[Animaux → Reptiles];"1) animal, personne : ramper , se glisser , se déplacer furtivement ; 2) la mort ... : arriver à l'improviste / survenir en cachette ;"
ḫalālu;ḫalālu;;→ alālu
ḫalālu;ḫalālu  (vb. a/u, );G. enfermer, détenir D. stat. : être enfermé Štn. faire enfermer qqn. continuellement;
ḫalālu;ḫalālu  (vb. u/u, );[Art → Musique];G. siffler (v.i.) D. faire émettre un son, faire sonner, tinter
ḫalālu;ḫalālu  (vb. a/u, );G. ramper, onduler Gtn. ramper continuellement Ntn. ramper alentour;Cf. ḫallulâ
ḫalāpu (2)*;ḫalāpu (2)*  ();[Justice];"1) G ; non attesté : accuser (?) , mettre en accusation (?) ; 2) Š : condamner , inculper , rejeter la faute sur ;"
ḫalāpu;ḫalāpu  (vb. u/u, );[Industrie];"G. se glisser dans, à travers (qqch. : +acc.) ; stat. : être glissé dans, vêtu de ; Gt. stat. : être habillé, vêtu ; être entremêlés D. [GIR6 : ] vêtir, habiller, équiper qqn. de qqch. (+dbl acc.) ; recouvrir, revêtir de métal N. se vêtir, revêtir, s'habiller avec (+acc.)"
ḫalāqu (Š);ḫalāqu (Š);aider à s' échapper;
ḫalāqu;ḫalāqu  [ZAḪ : , ZÁḪ : ]  (vb. i/i);"G. disparaître, se perdre ; fuir, s'échapper ; (Mathématiques) être inconnu ; être détruit ; stat. : être absent D. perdre ; détruire, ravager, saccager ; bannir, abolir ; permettre de s'enfuir Š. aider à, permettre de s'enfuir";Cf. šaḫluqtu, ḫulluqiš
ḫalāṣu, ḫanāqu;ḫalāṣu, ḫanāqu;[Nourriture → Cuisine];presser, écraser
ḫalāṣu;ḫalāṣu;[Humain → Hygiène];"1) passer au peigne fin , retirer à l'aide d'un peigne , cheveux ? : démêler (?) / peigner (?) ; 2) éliminer , filtrer , passer au crible , faire égoutter ; 3) distiller ;"
ḫalbu;ḫalbu;[Campagne → Arbres];"une forêt ;"
ḫalgatû *;ḫalgatû *;[Humain];"1) un barbare , une racaille ; 2) la populace ; zēr ḫalgatî : un barbare / les barbares ;"
ḫalgatû;ḫalgatû;[Humain];"un barbare , un sauvage , un voyou , une fripouille , une canaille , un fripon , une racaille , un membre de la populace , un vaurien ; zēr ḫalgatî : les barbares , gibier de potence (?) / la mauvaise graine (?) ;"
ḫalḫallatu;ḫalḫallatu  [MÈN : ]  ([MEN4 : ]);[Art → Musique];"1) un tambourin en cuivre ; 2) une chanson d'accompagnement ; 3) le tonnerre / un coup de tonnerre perçant (?) ;"
ḫalīdu , ruqqu B *;ḫalīdu , ruqqu B *;[Lettres → Géographie];cavité , creux , enfoncement
ḫalīdu;ḫalīdu;cavité , creux , terrier (?);
ḫālilum (2);ḫālilum (2)  ();[Armée → Guerre];"un espion ;"
ḫalip qissi;ḫalip qissi;[Campagne → Arbres];"boisé , couvert d'arbres ;"
ḫaliptum;ḫaliptum  ();[Humain → Parole];"une accusation ; awātum ḫaliptum : une parole accusatrice , des paroles accusatrices ;"
ḫaliqtu;ḫaliqtu;perte;
ḫāliqu;ḫāliqu;"insaisissable , élusif , difficile à atteindre / distant (?) , évasif , bref / passager / qui dure pas longtemps / fugace ;";
ḫalīṣiānu;ḫalīṣiānu;[Habillement];
ḫāliṣtu;ḫāliṣtu  ();[Métiers];"une cardeuse , une peigneuse de laine ;"
ḫalīṣu;ḫalīṣu  ();[Habillement];"la peau d'un animal écorché , une peau d'animal ; pluriel : ḫalīṣiānu : des peaux d'animaux écorchés ;"
ḫališiknum;ḫališiknum  ();"tissu / étoffe pour lit ;";Cf. ḫalīṣu
ḫallā;ḫallā;[Nourriture → Boissons];
ḫallālāniš * , šarrāqiš;ḫallālāniš * , šarrāqiš;"à la dérobée , en cachette , discrètement , sans qu'on s'en aperçoive , à l'insu d' autrui ;";Cf. šerqu, šarrāqiš, šarqiš, šarriqu
ḫallālāniš;ḫallālāniš  ();comme un millepattes (?) , subrepticement (?) , furtivement (?) , en cachette (?);Cf. ḫālilum (2), ḫillutu, muttaḫallilu, ḫallulāya, ḫalālu (3), ḫallālāniš
ḫallālatti;ḫallālatti;comme un mille-pattes, à la manière d'un mille-pattes;Cf. ḫālilum (2), ḫillutu, muttaḫallilu, ḫallulāya, ḫalālu (3), ḫallālāniš
ḫallani;ḫallani;[Animaux];pattes arrières ( d' un animal)
ḫallāni;ḫallāni;[Animaux];"les pattes arrières , l'arrière train (d'un animal) ;"
ḫallāru;ḫallāru;;→ ḫallūru
ḫallatuššu;ḫallatuššu  [ḪAL.LA.TUŠ.A : ]  ();[Métiers];"un apprenti ;"
ḫallimānu;ḫallimānu  ();"pluriel de ḫallimu : des radeaux , des embarcations ;";
ḫallimu;ḫallimu  ();"un radeau , une embarcation ; pluriel : ḫallimānu : des radeaux , des embarcations ;";Voir aussi : magulû, kalakku (2), amu
ḫallu (1);"ḫallu (1)  [ḪAL : ]  (origine sumérienne ;)";[Humain → Corps];"1) (homme / femme) : le haut de la cuisse , l'entre-jambes ; ṣubāt ḫallu : un pagne ; ḫallu petû : ouvrir les cuisses (s'asseoir à califourchon / monter à cheval ...) ; [uzu : ] ḫallānu : (un morceau de viande) ; 2) : -partie de char- (sens peu clair) ;"
ḫallu (2);ḫallu (2)  (origine sumérienne);un récipient en argile;
ḫallu (3);ḫallu (3)  [ḪAL : ]  (ḫallu(m));"1) le signe cunéiforme [ḪAL : ] ; 2) divination : marque sur le foie ...";
ḫallu (4);ḫallu (4)   (n., );[Nourriture → Boissons];vinaigre
ḫallu patû;ḫallu patû;[Transport → Terrestre];"ḫallu patû : to ""open the thighs"" / to sit astride / to ride a horse ... , ""ouvrir les cuisses"" / être à califourchon , monter sur un cheval ... ; idē patû : ""to open the hands"" / to get ready for battle , ""ouvrir les mains"" , se préparer au combat ;"
ḫalluḫum;ḫalluḫum  ();"1) sens inconnu ; 2) D : action envers une fille : approche furtive (?) ;";Voir aussi : ḫālilum (2), ḫillutu, muttaḫallilu, ḫallulāya, ḫalālu (3), ḫallālāniš
ḫallulâ;ḫallulâ;[Animaux → Insectes];"un mille-pattes ;"
ḫallulāya;ḫallulāya  ();[Animaux → Insectes];"1) lexique médical : un millepattes (?) ; 2) nom de démon ;"
ḫalluptu , naḫlaptu , qurpissu , ša-ḫallupti;ḫalluptu , naḫlaptu , qurpissu , ša-ḫallupti;[Armée → Armes];cuirasse , armure
ḫalluptu;"ḫalluptu  (n. ; syn. naḫlaptu, qurpissu, ša ḫallupti)";[Armée → Armes];"(soldats, chevaux) cuirasse, armure, protection , (cotte de) maille (?) ; [ša ḫalluptīšunu] : fournisseurs d'armures ;"
ḫallupu;ḫallupu;[Armée → Armes];"équipé d'une armure , portant / protégé par une armure , blindé (?) ; [šupālītu ḫalluptu] : cotte de maille , plastron d'armure ;"
ḫallūrtu;ḫallūrtu  [GÚ.GAL : ];[Campagne → Plantes];"dans des comparaisons : un pois / un petit pois ;"
ḫalluru;ḫalluru;[Campagne → Plantes];"un pois chiche ;"
ḫallūru;"ḫallūru  [GÚ.GAL : ]  ( ; pluriel : [GÚ.GÚ.GAL : ])";[Campagne → Plantes];"1) un pois chiche , des pois ; 2) : poids : 1/10 de sicle , 1/10 shekel ;"
Ḫallūt;Ḫallūt  ();[Temps → Mois];"nom de mois ;"
ḫallutānû;ḫallutānû;[Animaux → Domestiques];": une tache noire sur une patte d'âne ;"
ḫalpium;ḫalpium  (origine sumérienne);"sorte de : une citerne ;";Variantes : ḫalpû
ḫalpu (1);ḫalpu (1)  ();[Justice];"1) : accusé , poursuivi en justice ; 2) : caché , celé , furtif (?) ;"
ḫalpû;ḫalpû;;→ ḫalpium
ḫalqu;ḫalqu  [ZAḪ : , ZÁḪ : , BA.ḪA : ]  (adj., );"1) perdu , enfui , fugitif , échappé , fuyard , absent , disparu ; (Mathématiques) inconnu ; 2) nom : un fugitif , un fuyard , un réfugié , un échappé , un rescapé (?) , un fainéant / tire-au-flanc / fumiste ;";Cf. ḫalāqu
ḫalqūtum;ḫalqūtum  ();[Campagne → Agriculture];"une perte de grain ;"
ḫalṣu (1);"ḫalṣu (1)  [BÁRA.GA.GA : ]  ( ; parfois ḫarṣu (1) ;)";"sésame, huile de sésame, lin, parfum (riqqū) : peigné , cardé , filtré ;";Cf. ḫalāṣu
ḫalṣu (2);ḫalṣu (2)  [URU : , ḪAL.ṢU : ]  (mot masculin mais aussi féminin en );[Armée → Militaire];"1) forteresse , district ; 2) fort , fortification (surtout ) ; 3) ḫalzu / ḫalzi : district , province ; rab ḫalṣu : commandant de forteresse ;"
ḫalṣu;ḫalṣu  [BARA2 : , BARA2.GA : , BARA2.GÁ : , BARA2.AG : , BARA2.GÉ : ];[Industrie];"1) (lin) : peigné / démêlé (?) , dépouillé ; 2) (huile, parfums riqqū , ...) : filtré , égoutté , limpide / clair ;"
ḫaltu;ḫaltu;[Sport → Chasse];"1) un trou , une fosse / un trou profond , un cratère , une dépression ; 2) un piège / une fosse ; 3) une voie d'eau dans une coque de bateau , un trou / une fuite dans un récipient ... ; 4) aussi ḫaštum : une sorte de pierre ;"
ḫāltu;ḫāltu;[Science → Sciences naturelles];"la parturition , l'accouchement , le fait d'être en couches ;"
ḫālu (1);ḫālu (1);[Humain → Famille];"1) oncle maternel / frère de la mère ; 2) surtout dans les noms propres ; référence à à une divinité protectrice ;"
ḫālu (2);ḫālu (2)  ();[Humain → Corps];"grain de beauté ;"
ḫalû;ḫalû;[Humain → Sens];"briller , resplendir , être brillant ;"
ḫālu;ḫālu;[Nourriture → Boissons];
ḫâlu;ḫâlu;[Humain → Hygiène];
ḫaluppu;ḫaluppu  [ḪA.LU.ÚB : ]  (n.);[Campagne → Arbres];chêne
ḫalzu;ḫalzu;[Armée];"une fortification (ouvrage militaire) , un bastion ;"
ḫama ' u;"ḫama ' u  (origine sémitique occidentale -araméenne- ;)";[Humain → Sens];": voir ;"
ḫamāṭu (3);ḫamāṭu (3)  [TAB : ]  ();[Science → Sciences physiques];"1) feu : brûler , être vif ; 2) climat, soleil ... : être chaud / de plomb , darder / être écrasant ; 3) sens figuré : fièvre, cœur, parties du corps ... : être chaud / brûlant , être attisé (?) , démanger (?) / gratter (?) , salpêtre : cautériser ; 4) dans le cuir : graver ; 5) Gt : méchants ... : être réduit en cendres / être incinéré , se faire cramer / brûler / consumer / dévorer par le feu ; 6) D : ennemi : brûler / livrer aux flammes , faire brûler , fièvre : dévorer une personne malade , dieux : brûler une terre , feu / poterie : cuire ; 7) statif : poisson, oiseau ... : être rôti ; 8) Dt passif : être consumé par des démons ; 9) Š = D : terre, ennemis : brûler / livrer aux flammes / dévaster par le feu ; 10) : participe passé : muštaḫmiṭu : toujours allumé (?) / éternel (?) / brûlant éternellement (?) / perpétuel (?) ; 11) cœur : être brûlé / dévasté (?) / en braises / braisé / embrasé / enflammé ;"
ḫamālu;ḫamālu  ();[Vie morale → Conscience];"avoir de méchants projets / projeter des malheurs , conspirer , comploter / intriguer / manigancer ;"
ḫamāmu, karāku, šabāšu;ḫamāmu, karāku, šabāšu;rassembler, assembler, collecter, collectionner;
ḫamāmu;ḫamāmu  ();[Campagne → Agriculture];"1) céréales, roseaux ... : ramasser , récolter , moissonner ; 2) sens figuré : lors de célébrations rituelles (parṣē) : concentrer en soi-même / focaliser son attention (?) ; 3) D : batailles ... : être assemblé / s'assembler / se rassembler / se mettre en place (?) / se mettre en position (?) / se ranger (?) / se mettre en rangs (?) ; 4) Dt : pierres de construction ... : être assemblées / mises en place / être placées ;"
ḫamāṣu;ḫamāṣu  ();[Vie morale → Défauts];"G : enlever , retirer , déshabiller / dévêtir / mettre à nu de force , forcer à se déshabiller , voler / dérober ; Š : spolier , piller , dépouiller , violer , ravir / violenter / outrager , agresser sexuellement ;"
ḫamāšiu;ḫamāšiu  ();[Nombres];cinquième
ḫamāti;ḫamāti  (nom pluriel);[Armée];aide , assistance , rescousse , force d' appoint , force d' appui , force auxiliaire
ḫamātu (D);ḫamātu (D);s' élever en flammes , se consumer dans les flammes , brûler entièrement , cramer , (se carboniser);Cf. dalāqu °, kabābu B *, qâdu, qalû, qamû, ṣarāpu, šarāpu
ḫamāṭu (2);"ḫamāṭu (2)  (vb. u/u ; )";"G. se dépêcher, venir rapidement ; être en avance ; hend. : faire qqch. rapidement, à la hâte Gt. stat. : être très précipité, hâtif Gtn. être constamment en train de se dépêcher D. hâter, presser, activer, faire se dépêcher Š. envoyer rapidement ; apporter à temps ; avancer l'heure de qqch. Št. être apporté à temps";Cf. ḫamāṭum (1)
ḫamāṭu B *;ḫamāṭu B *;devenir vif , devenir rapide , accélérer;Voir aussi : rapādu, balāṭu (D), arḫiš, ḫanṭiš, rapdi °, surriš, ḫitmuṭiš *, urruḫiš *
ḫamāṭum (1);ḫamāṭum (1)  ();[Temps];"la hâte , l'urgence , la précipitation (?) ; : ṭēm ḫamātum : une chose urgente , une affaire pressante , une urgence ;"
ḫāmimu;ḫāmimu  ();[Campagne → Agriculture];"un ramasseur de céréales , un glaneur (?) ;"
ḫamiš;"ḫamiš  (adj. fem. ; masc. ḫamšat)";[Nombres];"cinq ;"
ḫamiššeret;ḫamiššeret  [U.IÁ : ]  (fem. ḫamiššer);[Nombres];quinze
ḫammā ' u;ḫammā ' u  [IM.GI : ]  ();[Gouvernement];"un rebelle , un usurpateur ;"
ḫammā' u;ḫammā' u;[Gouvernement];usurper
ḫammāmu;ḫammāmu;;→ ḫammā ' u
ḫammar ṭīṭi;ḫammar ṭīṭi;[Nourriture → Boissons];jus de figue
ḫammu °;ḫammu °;[Humain → Famille];"un chef de famille ;"
ḫammû(m);ḫammû(m);;→ ḫammā ' u
ḫamšā;ḫamšā  [NINNU : ];[Nombres];cinquante
ḫamšat;"ḫamšat  [IÁ : ]  (adj. ; fem. ḫamiš)";[Nombres];cinq
ḫamšāyya;ḫamšāyya  (nombre distributif, formé avec le suffixe -āyya);[Nombres];cinquante (pour) chacun
ḫamšu;ḫamšu  (f. sg. ḫamuštu);[Nombres];le cinquième
ḫamṭu;"ḫamṭu  ((grammaire) : forme opposée de marû(1) ;)";[Temps];"1) (messager) rapide , prompt , vif , actif , agile , alerte, leste , preste ; 2) (mort / arme/ médicament) : soudain , hâtif , précipité , immédiat , instantané , qui agit vite / efficace (?) 3) (action) : du tac-au-tac / sans réfléchir / au pied levé , instinctif / automatique / réflexe ; 4) (nourriture) : vite préparée / cuite ; 5) (grammaire) : le prétérit ;"
ḫamṭūtu;ḫamṭūtu;[Temps];"1) à la hâte , hâtivement , à la va-vite , précipitamment , avec précipitation ; 2) de suite , sur l'heure / sur le champ , immédiatement , séance tenante , sans tarder (?) ;"
ḫamu;ḫamu;[Transport → Maritime];
ḫāmu;ḫāmu;ordures , saleté , déchets , rejets balle de son (enveloppe du grain);Voir aussi : iltu B, pu ' ē, zê qissaba
ḫāmū;"ḫāmū  (pluriel seulement ;)";[Campagne → Agriculture];"1) (de blé) :balle / menue paille / détritus / restes / rejets ; 2) (de bois) : ḫāmū u ḫuṣābu : décapage et copeaux / frisons / fragments détachés ;"
ḫamussu;ḫamussu;[Nombres];"1/5 ; un cinquième"
ḫamussu;ḫamussu;[Temps → Jour de la semaine];"une semaine ; qīt ḫamussi : une fin de semaine ;"
ḫanābu;ḫanābu  ();[Campagne → Arbres];"1) arbre, graine ... : germer , fleurir ; 2) sens figuré ; splendeur divine : rayonner ; 3) D : faire germer , rendre fertile / fertiliser , rendre florissant , verdir / rendre luxuriant ; 4) Dt ; chevelure : pousser abondamment ; 5) Š : faire pousser abondamment , rendre luxuriant / verdir ;"
ḫanāmum;ḫanāmum  ();[Mesures];"1) : prospérer , se développer , pousser , être abondant / pousser en abondance , être luxuriant / être fertile ; 2) : moutons : être nombreux , prospérer / se multiplier ; 3) sens figuré ; rire : être éclatant / être bien sonore ; 4) Dt ; bétail, nuages ... : être multiplié / être rendu nombreux , s'amonceler , s'accumuler ;"
ḫanāpu;ḫanāpu;"tâcher de séduire , flatter / flagorner , faire des courbettes , être servile , rechercher les faveurs / chercher à plaire , lécher les bottes / ramper devant ;";Voir aussi : kazābu (1), ra ' āmu
ḫanāqu [dialect=20];ḫanāqu [dialect=20];presser , étrangler , resserrer , tuer par strangulation , garroter : être en colère , être fâché Gtn : suffoquer , être asphyxié , étouffer D : étouffer;Voir aussi : ḫinqu immeri, mūt ḫinqu, ḫanāqu, ḫannāqu, ḫiniqtu, maḫnaqu
ḫanāqu;ḫanāqu;[Humain → Corps];"1) étrangler , presser / étouffer , tuer par strangulation , asphyxier ; 2) : statif : est resserré / serré / rétréci / restreint / comprimé (?) / coincé (?) , sens figuré ? : être assujéti (?) ; 3) enrouler autour de quelque chose en serrant , embobiner en serrant fort , comprimer , étouffer ; 4) : statif : est fâché / en colère ; Gt : asphyxier / s'asphyxier (?) , suffoquer / faire suffoquer ;"
ḫanāṣu;ḫanāṣu  ();[Animaux];"1) bœuf, cheval ... : soulever la lèvre / découvrir ses dents , monter les dents ; 2) Gt lexical : se contorsionner la face / le nez / les lèvres ; 3) montrer les dents , se renfrogner , faire la grimace , froncer les sourcils , faire la moue , jeter un regard mauvais / fusiller du regard / jeter un regard noir , regarder de travers ; 4) Dt ; démon : montrer les dents ;"
ḫanāšu;ḫanāšu  ();;→ kanāšu
ḫanduttu;ḫanduttu  ();[Humain → Corps];"le clitoris , la vulve ;"
ḫangāru;ḫangāru  (n.);[Armée → Armes];"un poignard , une dague ;"
ḫānibu;ḫānibu  ();[Campagne → Arbres];"arbre fruitier : luxuriant , prometteur / fourni , chargé de fruits , abondant ;"
ḫannaka;ḫannaka  ();;→ annaka
ḫannāmu(m);ḫannāmu(m);[Mesures];"femme : très fertile / luxuriante , très abondantes (?) , très nombreuses / nuages ? : très nombreux ;"
ḫannāqu [dialect=16];ḫannāqu [dialect=16];[Humain → Mort];étrangleur , attache en roseau ou en bois
ḫannāqu [dialect=32];ḫannāqu [dialect=32];[Vie morale → Sentiments];très en colère , furieux
ḫannātu;ḫannātu  ();;→ anniātu
ḫanniu;ḫanniu  ();;→ annû
ḫannīu;ḫannīu  ();;→ annītu
ḫannūtu;ḫannūtu  ();;→ annûtu
ḫanqu;ḫanqu  ();[Humain → Mort];"1) : étranglé ; 2) : collier ? : solidement / fermement attaché , serré , qui serre bien ;"
ḫanṣāti;"ḫanṣāti  ( ; origine sémitique occidentale)";[Science → Sciences naturelles];"les hanches ;"
ḫanšīšu;ḫanšīšu;[Nombres];"cinq fois , à cinq reprises ;"
ḫantu , rapdu;ḫantu , rapdu;vif , rapide , vite , véloce;Voir aussi : ḫamāṭu B *, rapādu, balāṭu (D), arḫiš, ḫanṭiš, rapdi °, surriš, ḫitmuṭiš *, urruḫiš *
ḫanṭu (1);ḫanṭu (1);[Vie morale → Sentiments];"chaud , fervent , enflammé , tout feu tout flamme , embrasé , en flamme , brûlant , urgent (?) ;"
ḫanṭu (2);ḫanṭu (2);;→ ḫamṭu
ḫanṭu, lasmu;ḫanṭu, lasmu;rapide , vif , alerte , prompt;
ḫanṭūssu;ḫanṭūssu;[Temps];
ḫanṭūtu;ḫanṭūtu;[Temps];
ḫānūtu+;"ḫānūtu+  (n. ; syn. : šawwuqu+, kurḫu)";échope, magasin;
ḫapāpu (2);"ḫapāpu (2)   (origine sémitique occidentale ;)";[Humain → Hygiène];"laver , nettoyer ;"
ḫapāru (1);ḫapāru (1);[Armée → Guerre];"D :entourer , encercler (ennemi ...) ;"
ḫapāru (2);ḫapāru (2);[Armée];"1) lever le camp , décamper , se mettre en route ; 2) devenir vagabond ;"
ḫapāru *;ḫapāru *;déterrer;Voir aussi : ḫaṭāṭu, ḫarāru *, ḫarāṣu, ḫarû
ḫapāʾu;ḫapāʾu  ();;→ ḫepû
ḫāpiru;ḫāpiru  [LÚ.SA.GAZ : ];[Humain];"(une espèce de) vagabond ;"
ḫapiu;ḫapiu;[Mesures];"fragmentaire , fragmenté , incomplet , discontinu , cassé (?) ;"
ḫaprātu;"ḫaprātu  (souvent abbrégé en : ḫap ;)";[Ciel → Astronomie];"la surface visible (d'un astre) ; ḫaprātu Sîn / Šamaš : la surface visible de la lune / soleil ;"
ḫapû , parāsu , zuāzu , zuāzu (D);ḫapû , parāsu , zuāzu , zuāzu (D);[Nombres];diviser , séparer , partager (?)
ḫapʾu;ḫapʾu  ();;→ ḫepû
ḫapû;ḫapû;;→ ḫepû
ḫāpû;ḫāpû;[Transport];
ḫapūtu;ḫapūtu;[Armée → Guerre];destruction
ḫara ' u;ḫara ' u  (dialecte de Qatna);partie d' ornement;Voir aussi : ḫarbakkannu, ḫarba(q)qannu, ḫurbakkannu
ḫarābu;"ḫarābu  [A.RI.A : ]  (vb. u/u, i/i ; )";G. être désert, devenir désert, se désertifier, devenir abandonné, se vider Š. dévaster, rendre désertique Št. être dévasté;Cf. ḫarbu, ḫuribtu
ḫarābu;ḫarābu  ();[Temps];
ḫaradu (1);ḫaradu (1);[Lettres → Géographie];"un endroit désert (?) ;"
ḫarādu (2);ḫarādu (2)  (Babylonien ancien);[Animaux → Sauvages];": onagre , âne sauvage ;"
ḫarādu (3);ḫarādu (3)  ();[Industrie];"1) assembler / monter (?) , fabriquer (?) , manufacturer (?) ; 2) un tapis de sol / une natte ; 3) un bélier engin de siège ; 4) D : sens incertain ;"
ḫarādu (4);ḫarādu (4);[Armée];"être éveillé , observer , garder , être de garde / être en garde , veiller , assister ; (D) réveiller / éveiller , mettre en garde , mettre de garde , prévenir , alerter , suggérer / souffler ; (N) être attentif , faire attention , prendre garde , être sur ses gardes , avoir l'œil ;"
ḫarādu (D);ḫarādu (D);prévenir , avertir;
ḫaramma;ḫaramma  ();plus tard, ensuite;Variantes : ḫaramme
ḫaramme;ḫaramme;;→ ḫaramma
ḫaraptu;ḫaraptu  (n. f., );[Temps];automne
ḫarāpu;ḫarāpu  [NIM : ]  (vb. u/u, );[Temps];"G. être précoce, en avance ; hend. : faire qqch en avance D = G Š. faire faire qqch. en avance"
ḫarāru (1);ḫarāru (1);[Campagne → Agriculture];"1) creuser , faire un trou , excaver , faire des excavations , évider , travailler -un champ- (?); 2) (par extension) faire des incisions (dans quelque chose) ; (statif) : est creux ; D ) est évidé , est creusé / excavé ;"
ḫarāru (2);ḫarāru (2);[Animaux];"grenouilles : coasser , humains :dire d'une voix rauque (?) ;"
ḫarāru * , ḫarāṣu , ḫarû;ḫarāru * , ḫarāṣu , ḫarû;[Ville → Bâtiments];creuser
ḫarāru +;ḫarāru +  (n.);[Campagne → Arbres];"noeud (d'arbre, de membre) ;"
ḫarāru;ḫarāru;[Industrie];"creuser , faire des trous , excaver ;"
ḫarāsu;ḫarāsu  (vb.);démanger, gratter;Comparaison avec d'autres langues sémitiques :
ḫarāṣu;ḫarāṣu  (vb. a/u);[Science → Mathématiques];"G. soustraire, déduire ; creuser, excaver ; clarifier, éclaircir, s'éclaircir ; fixer, définir , faire précisément ; donner des instructions claires D. réduire ; diminuer par erreur Št. calculer la différence, déduire N. être soustrait, déduit"
ḫarāšu (1);ḫarāšu (1);[Science → Sciences naturelles];"G : accoucher / arriver au terme de la gestation ; ḫaršassu : est enceinte de lui (?) ; D : donner naissance / mettre au monde un enfant ; N : accoucher ;"
ḫarāšu (2);ḫarāšu (2);"G : attacher (sur) ; D : rassembler , collecter , collectionner (?) , planter (des arbres dans un parc) ;";Voir aussi : satālu, ḫarāšu (2)
ḫarāšu (3);"ḫarāšu (3)   (origine ouest sémitique ;)";[Humain → Parole];"G : être silencieux / muet + / ne rien dire , ne pas souffler mot , devenir muet / perdre la parole , se taire , devenir silencieux ; D : faire se taire , réduire au silence , taire ; : statif : ḫariš ;"
ḫarātu;"ḫarātu   ( : prétérit : iḫruṭ ; : prétérit : iḫriṭ ; )";[Nourriture];": se nourrir de -herbe ...- (?) ;"
ḫarbakannu , irginu , tuānu;ḫarbakannu , irginu , tuānu;[Animaux];(race de) cheval
ḫarbakkannu;"ḫarbakkannu  [ŠEN.ŠEN.(BAL).BAR.ḪUŠ.MUŠEN : ]  (n. ; )";[Animaux → Oiseaux];sorte d'oiseau
ḫarbānāti;"ḫarbānāti  (féminin pluriel ;)";[Ville → Bâtiments];"les ruines , les décombres ;"
ḫarbānu;ḫarbānu  ();[Lettres → Géographie];"habitant du désert ;"
ḫarbaqqannu;ḫarbaqqannu;[Animaux → Oiseaux];
ḫarbatu;ḫarbatu;[Ville → Bâtiments];"désert , lieu désolé , ruines ;"
ḫarbiš;ḫarbiš;[Temps];
ḫarbītu;"ḫarbītu  (féminin singulier ;)";[Ville → Bâtiments];"une ruine ;"
ḫarbu (1);"ḫarbu (1)  (adj. ; f. ḫarubtu ; )";[Lettres → Géographie];"désert, désertique ; n. : désert"
ḫarbu;"ḫarbu  [APIN.TÚG.KIN : ]  (n. ; )";[Campagne → Agriculture];charrue, araire
ḫarbu;ḫarbu;[Temps];
ḫarbutu;ḫarbutu;[Campagne → Agriculture];friche , terre non cultivée
ḫarbūtu;ḫarbūtu  ();[Lettres → Géographie];dévastation , désolation , ruines
ḫardu;ḫardu;[Vie morale → Qualités];"1) vigilant , en éveil , éveillé , alerte , sur le qui-vive , attentif , prudent / précautionneux ; 2) prompt , diligent , attentionné , soucieux / préoccupé par le bien-être d'autrui / prêt à aider / plein de sollicitude , déférent / dévoué ; 3) consciencieux , méticuleux , scrupuleux , pointilleux ;"
ḫarduttu;ḫarduttu;[Vie morale → Conscience];"1) l'attention , la diligence / l'assiduité / l'application , la sollicitude , le souci du bien d'autrui ; 2) la vigilance , l'état de veille , la veille , la garde ;"
ḫargullu *;ḫargullu *;"fermeture , anneau de fermeture ; muselière (?)";
ḫargullu;"ḫargullu  ( : ; origine sumérienne ; aussi [ḫargallu])";[Animaux → Domestiques];1) un verrou , une fermeture (de porte) , un anneau de verrouillage (de porte) en cuivre ou argent [ḫargullu nadû] : verrouiller , fermer à clef / clé , museler (?) , bâillonner (?) 2) une muselière (pour empêcher de mordre) , un bâillon (?)
ḫarḫarru;ḫarḫarru;chaîne;Voir aussi : še ršerrutu
ḫarimtu;ḫarimtu;[Métiers];
ḫarintu;ḫarintu  [(MUNUS.)KAR.KID : ];[Religion → Mythes];"prostituée sacrée (du temple) ; ḫarimāku : je suis une prostituée du temple ; mār ḫarimtu: fils d'une prostituée du temple ;"
ḫarīpu;ḫarīpu  (n., );[Animaux → Domestiques];agneau
ḫarīru;ḫarīru;[Habillement];3) sorte de vêtement ou de textile
